FECHA_CORTE;UBIGEO;ANIO;DEPARTAMENTO;PROVINCIA;DISTRITO;REGION_NATURAL;TIPO_MUNICIPALIDAD;POB_TOTAL_INEI;POB_URBANA_INEI;POB_RURAL_INEI;CLASIFICACION_MUNICIPAL_MEF;GENERACION_PER_CAPITA_DOM;GENERACION_DOM_URBANA_TDIA;GENERACION_DOM URBANA_TANIO;GENERACION_MUN_TANIO;GENERACION_MUN_TDIA;GENERACION_PER_CAPITA_MUNICIPAL
20240410;130705;2021;LA LIBERTAD;PACASMAYO;SAN JOSE;COSTA;DISTRITAL;12825;11542;1283;E;0.45;5.19;1895.77;2708.25;7.42;0.64
20240410;130801;2021;LA LIBERTAD;PATAZ;TAYABAMBA;SIERRA;PROVINCIAL;13855;3823;10032;B;0.49;1.87;683.74;976.78;2.68;0.70
20240410;130802;2021;LA LIBERTAD;PATAZ;BULDIBUYO;SIERRA;DISTRITAL;4264;1035;3229;G;0.44;0.46;166.22;237.46;0.65;0.63
20240410;130803;2021;LA LIBERTAD;PATAZ;CHILLIA;SIERRA;DISTRITAL;13135;2084;11051;G;0.44;0.92;334.69;478.13;1.31;0.63
20240410;130804;2021;LA LIBERTAD;PATAZ;HUANCASPATA;SIERRA;DISTRITAL;6130;1130;5000;G;0.36;0.41;148.48;212.12;0.58;0.51
20240410;130805;2021;LA LIBERTAD;PATAZ;HUAYLILLAS;SIERRA;DISTRITAL;1070;378;692;F;0.44;0.17;60.71;86.72;0.24;0.63
20240410;130806;2021;LA LIBERTAD;PATAZ;HUAYO;SIERRA;DISTRITAL;3736;309;3427;G;0.44;0.14;49.63;70.89;0.19;0.63
20240410;130807;2021;LA LIBERTAD;PATAZ;ONGON;SIERRA;DISTRITAL;1337;124;1213;G;0.46;0.06;20.82;29.74;0.08;0.66
20240410;130808;2021;LA LIBERTAD;PATAZ;PARCOY;SIERRA;DISTRITAL;21560;8137;13423;F;0.58;4.72;1722.60;2460.86;6.74;0.83
20240410;130809;2021;LA LIBERTAD;PATAZ;PATAZ;SIERRA;DISTRITAL;11088;3420;7668;G;0.51;1.74;636.63;909.48;2.49;0.73
20240410;130810;2021;LA LIBERTAD;PATAZ;PIAS;SIERRA;DISTRITAL;1936;517;1419;G;0.44;0.23;83.03;118.61;0.32;0.63
20240410;130811;2021;LA LIBERTAD;PATAZ;SANTIAGO DE CHALLAS;SIERRA;DISTRITAL;2256;986;1270;F;0.44;0.43;158.35;226.22;0.62;0.63
20240410;130812;2021;LA LIBERTAD;PATAZ;TAURIJA;SIERRA;DISTRITAL;3031;898;2133;G;0.44;0.40;144.22;206.03;0.56;0.63
20240410;130813;2021;LA LIBERTAD;PATAZ;URPAY;SIERRA;DISTRITAL;2384;456;1928;G;0.44;0.20;73.23;104.62;0.29;0.63
20240410;130901;2021;LA LIBERTAD;SANCHEZ CARRION;HUAMACHUCO;SIERRA;PROVINCIAL;82085;47852;34233;A;0.64;30.63;11178.23;15968.90;43.75;0.91
20240410;130902;2021;LA LIBERTAD;SANCHEZ CARRION;CHUGAY;SIERRA;DISTRITAL;19553;1850;17703;G;0.34;0.63;229.59;327.98;0.90;0.49
20240410;130903;2021;LA LIBERTAD;SANCHEZ CARRION;COCHORCO;SIERRA;DISTRITAL;10179;896;9283;G;0.37;0.33;121.00;172.86;0.47;0.53
20240410;130904;2021;LA LIBERTAD;SANCHEZ CARRION;CURGOS;SIERRA;DISTRITAL;8865;1786;7079;G;0.44;0.79;286.83;409.76;1.12;0.63
20240410;130905;2021;LA LIBERTAD;SANCHEZ CARRION;MARCABAL;SIERRA;DISTRITAL;11164;265;10899;G;0.37;0.10;35.79;51.13;0.14;0.53
20240410;130906;2021;LA LIBERTAD;SANCHEZ CARRION;SANAGORAN;SIERRA;DISTRITAL;15064;348;14716;G;0.49;0.17;62.24;88.91;0.24;0.70
20240410;130907;2021;LA LIBERTAD;SANCHEZ CARRION;SARIN;SIERRA;DISTRITAL;9986;1825;8161;G;0.44;0.80;293.10;418.71;1.15;0.63
20240410;130908;2021;LA LIBERTAD;SANCHEZ CARRION;SARTIMBAMBA;SIERRA;DISTRITAL;14534;569;13965;G;0.44;0.25;91.38;130.54;0.36;0.63
20240410;131001;2021;LA LIBERTAD;SANTIAGO DE CHUCO;SANTIAGO DE CHUCO;SIERRA;PROVINCIAL;20456;7335;13121;B;0.57;4.18;1526.05;2180.07;5.97;0.81
20240410;131002;2021;LA LIBERTAD;SANTIAGO DE CHUCO;ANGASMARCA;SIERRA;DISTRITAL;4934;1676;3258;F;0.44;0.74;269.17;384.52;1.05;0.63
20240410;131003;2021;LA LIBERTAD;SANTIAGO DE CHUCO;CACHICADAN;SIERRA;DISTRITAL;5739;2461;3278;F;0.34;0.84;305.41;436.30;1.20;0.49
20240410;131004;2021;LA LIBERTAD;SANTIAGO DE CHUCO;MOLLEBAMBA;SIERRA;DISTRITAL;1842;945;897;F;0.44;0.42;151.77;216.81;0.59;0.63
20240410;131005;2021;LA LIBERTAD;SANTIAGO DE CHUCO;MOLLEPATA;SIERRA;DISTRITAL;2424;145;2279;G;0.44;0.06;23.29;33.27;0.09;0.63
20240410;131006;2021;LA LIBERTAD;SANTIAGO DE CHUCO;QUIRUVILCA;SIERRA;DISTRITAL;13708;7037;6671;F;0.80;5.63;2054.80;2935.43;8.04;1.14
20240410;131007;2021;LA LIBERTAD;SANTIAGO DE CHUCO;SANTA CRUZ DE CHUCA;SIERRA;DISTRITAL;3043;553;2490;G;0.44;0.24;88.81;126.87;0.35;0.63
20240410;131008;2021;LA LIBERTAD;SANTIAGO DE CHUCO;SITABAMBA;SIERRA;DISTRITAL;3680;770;2910;G;0.44;0.34;123.66;176.66;0.48;0.63
