ubigeo,tipo_municipalidad,clasificacion_mef
30708,DISTRITAL,F
30709,DISTRITAL,E
30710,DISTRITAL,F
30711,DISTRITAL,E
30712,DISTRITAL,E
30713,DISTRITAL,E
30714,DISTRITAL,F
40101,PROVINCIAL,A
40102,DISTRITAL,D
40103,DISTRITAL,D
40104,DISTRITAL,D
40105,DISTRITAL,D
40106,DISTRITAL,D
40107,DISTRITAL,D
40108,DISTRITAL,E
40109,DISTRITAL,D
40110,DISTRITAL,D
40111,DISTRITAL,D
40112,DISTRITAL,D
40113,DISTRITAL,F
40114,DISTRITAL,F
40115,DISTRITAL,E
40116,DISTRITAL,D
40117,DISTRITAL,D
40118,DISTRITAL,E
40119,DISTRITAL,F
40120,DISTRITAL,G
40121,DISTRITAL,E
40122,DISTRITAL,D
40123,DISTRITAL,D
40124,DISTRITAL,E
40125,DISTRITAL,F
40126,DISTRITAL,D
40127,DISTRITAL,E
40128,DISTRITAL,D
40129,DISTRITAL,D
40201,PROVINCIAL,B
40202,DISTRITAL,E
40203,DISTRITAL,G
40204,DISTRITAL,E
40205,DISTRITAL,E
40206,DISTRITAL,E
40207,DISTRITAL,G
40208,DISTRITAL,E
40301,PROVINCIAL,B
40302,DISTRITAL,E
40303,DISTRITAL,E
40304,DISTRITAL,G
40305,DISTRITAL,E
40306,DISTRITAL,G
40307,DISTRITAL,E
40308,DISTRITAL,F
40309,DISTRITAL,G
40310,DISTRITAL,E
40311,DISTRITAL,E
40312,DISTRITAL,F
40313,DISTRITAL,E
40401,PROVINCIAL,B
40402,DISTRITAL,E
40403,DISTRITAL,E
40404,DISTRITAL,F
40405,DISTRITAL,F
40406,DISTRITAL,F
40407,DISTRITAL,E
40408,DISTRITAL,F
40409,DISTRITAL,E
40410,DISTRITAL,E
40411,DISTRITAL,G
40412,DISTRITAL,F
40413,DISTRITAL,F
40414,DISTRITAL,E
40501,PROVINCIAL,B
40502,DISTRITAL,E
40503,DISTRITAL,E
40504,DISTRITAL,F
40505,DISTRITAL,E
40506,DISTRITAL,F
40507,DISTRITAL,F
40508,DISTRITAL,F
40509,DISTRITAL,E
40510,DISTRITAL,E
40511,DISTRITAL,F
40512,DISTRITAL,E
40513,DISTRITAL,E
40514,DISTRITAL,F
40515,DISTRITAL,E
40516,DISTRITAL,G
40517,DISTRITAL,F
40518,DISTRITAL,E
40519,DISTRITAL,E
40520,DISTRITAL,D
40601,PROVINCIAL,B
40602,DISTRITAL,G
40603,DISTRITAL,G
40604,DISTRITAL,F
40605,DISTRITAL,F
40606,DISTRITAL,F
40607,DISTRITAL,F
40608,DISTRITAL,G
40701,PROVINCIAL,A
40702,DISTRITAL,E
40703,DISTRITAL,E
40704,DISTRITAL,E
40705,DISTRITAL,E
40706,DISTRITAL,E
40801,PROVINCIAL,B
40802,DISTRITAL,E
40803,DISTRITAL,F
40804,DISTRITAL,F
40805,DISTRITAL,F
40806,DISTRITAL,F
40807,DISTRITAL,G
40808,DISTRITAL,F
40809,DISTRITAL,E
40810,DISTRITAL,F
40811,DISTRITAL,F
50101,PROVINCIAL,A
50102,DISTRITAL,G
50103,DISTRITAL,G
50104,DISTRITAL,D
50105,DISTRITAL,F
50106,DISTRITAL,G
50107,DISTRITAL,F
50108,DISTRITAL,F
50109,DISTRITAL,G
50110,DISTRITAL,D
50111,DISTRITAL,F
50112,DISTRITAL,G
50113,DISTRITAL,G
50114,DISTRITAL,G
50115,DISTRITAL,D
50116,DISTRITAL,D
50201,PROVINCIAL,B
50202,DISTRITAL,F
50203,DISTRITAL,F
50204,DISTRITAL,G
50205,DISTRITAL,G
50206,DISTRITAL,F
50301,PROVINCIAL,B
50302,DISTRITAL,E
50303,DISTRITAL,F
50304,DISTRITAL,F
50401,PROVINCIAL,A
50402,DISTRITAL,F
50403,DISTRITAL,F
50404,DISTRITAL,G
50405,DISTRITAL,F
50406,DISTRITAL,G
50407,DISTRITAL,F
50408,DISTRITAL,F
50409,DISTRITAL,F
50410,DISTRITAL,G
50411,DISTRITAL,G
50412,DISTRITAL,F
50413,DISTRITAL,G
50501,PROVINCIAL,B
50502,DISTRITAL,G
50503,DISTRITAL,E
50504,DISTRITAL,G
50505,DISTRITAL,G
50506,DISTRITAL,G
50507,DISTRITAL,E
50508,DISTRITAL,F
50509,DISTRITAL,F
50510,DISTRITAL,G
50511,DISTRITAL,G
50512,DISTRITAL,G
50513,DISTRITAL,G
50514,DISTRITAL,G
50515,DISTRITAL,G
50601,PROVINCIAL,B
50602,DISTRITAL,E
50603,DISTRITAL,E
50604,DISTRITAL,E
50605,DISTRITAL,F
50606,DISTRITAL,F
50607,DISTRITAL,G
50608,DISTRITAL,F
50609,DISTRITAL,F
50610,DISTRITAL,F
50611,DISTRITAL,F
50612,DISTRITAL,F
50613,DISTRITAL,G
50614,DISTRITAL,F
50615,DISTRITAL,F
50616,DISTRITAL,E
50617,DISTRITAL,F
50618,DISTRITAL,F
50619,DISTRITAL,F
50620,DISTRITAL,E
50621,DISTRITAL,E
50701,PROVINCIAL,B
50702,DISTRITAL,E
50703,DISTRITAL,G
50704,DISTRITAL,F
50705,DISTRITAL,E
50706,DISTRITAL,F
50707,DISTRITAL,F
50708,DISTRITAL,G
50801,PROVINCIAL,B
50802,DISTRITAL,F
50803,DISTRITAL,F
50804,DISTRITAL,E
50805,DISTRITAL,E
50806,DISTRITAL,F
50807,DISTRITAL,F
50808,DISTRITAL,G
50809,DISTRITAL,F
50810,DISTRITAL,E
50901,PROVINCIAL,B
50902,DISTRITAL,E
50903,DISTRITAL,F
50904,DISTRITAL,F
50905,DISTRITAL,E
50906,DISTRITAL,E
50907,DISTRITAL,E
50908,DISTRITAL,F
50909,DISTRITAL,G
50910,DISTRITAL,E
50911,DISTRITAL,E
51001,PROVINCIAL,B
51002,DISTRITAL,E
51003,DISTRITAL,E
51004,DISTRITAL,G
51005,DISTRITAL,E
51006,DISTRITAL,E
51007,DISTRITAL,F
51008,DISTRITAL,F
51009,DISTRITAL,E
51010,DISTRITAL,E
51011,DISTRITAL,E
51012,DISTRITAL,G
51101,PROVINCIAL,B
51102,DISTRITAL,E
51103,DISTRITAL,F
51104,DISTRITAL,G
51105,DISTRITAL,F
51106,DISTRITAL,F
51107,DISTRITAL,G
51108,DISTRITAL,F
60101,PROVINCIAL,A
60102,DISTRITAL,G
60103,DISTRITAL,G
60104,DISTRITAL,G
60105,DISTRITAL,G
60106,DISTRITAL,G
60107,DISTRITAL,G
60108,DISTRITAL,D
60109,DISTRITAL,G
60110,DISTRITAL,G
60111,DISTRITAL,G
60112,DISTRITAL,G
60201,PROVINCIAL,B
60202,DISTRITAL,G
60203,DISTRITAL,G
60204,DISTRITAL,G
60301,PROVINCIAL,B
60302,DISTRITAL,G
60303,DISTRITAL,G
60304,DISTRITAL,G
60305,DISTRITAL,F
60306,DISTRITAL,G
60307,DISTRITAL,G
60308,DISTRITAL,G
60309,DISTRITAL,G
60310,DISTRITAL,G
60311,DISTRITAL,G
60312,DISTRITAL,G
60401,PROVINCIAL,A
60402,DISTRITAL,G
60403,DISTRITAL,G
60404,DISTRITAL,G
60405,DISTRITAL,G
60406,DISTRITAL,G
60407,DISTRITAL,G
60408,DISTRITAL,G
60409,DISTRITAL,G
60410,DISTRITAL,G
60411,DISTRITAL,F
60412,DISTRITAL,G
60413,DISTRITAL,G
60414,DISTRITAL,F
60415,DISTRITAL,G
60416,DISTRITAL,G
60417,DISTRITAL,G
60418,DISTRITAL,G
60419,DISTRITAL,G
60501,PROVINCIAL,B
60502,DISTRITAL,E
60503,DISTRITAL,G
60504,DISTRITAL,G
60505,DISTRITAL,G
60506,DISTRITAL,G
60507,DISTRITAL,F
60508,DISTRITAL,F
60601,PROVINCIAL,A
60602,DISTRITAL,G
60603,DISTRITAL,G
60604,DISTRITAL,G
